GameId,Blue_Kills,Blue_Assists,Blue_Deaths,Blue_Total_Level,Blue_Total_gold,Blue_first_blood,Blue_first_dragon,Blue_dragon_kills,Blue_first_riftherald,Blue_riftherald_kills,Blue_first_baron,Blue_baron_kills,Blue_first_tower,Blue_tower_destroyed,Blue_first_inhibitor,Blue_inhibitor_destroyed,Red_Kills,Red_Assists,Red_Deaths,Red_Total_Level,Red_Total_gold,Red_first_blood,Red_first_dragon,Red_dragon_kills,Red_first_riftherald,Red_riftherald_kills,Red_first_baron,Red_baron_kills,Red_first_tower,Red_tower_destroyed,Red_first_inhibitor,Red_inhibitor_destroyed,Win
KR_6532286988,26,42,42,80,65513,0,0,0,0,0,0,1,0,2,0,0,42,78,26,85,78268,1,1,4,1,2,1,1,1,10,1,3,0
KR_6539347321,10,15,22,46,27883,1,0,0,1,1,0,0,0,0,0,0,22,26,10,50,35382,0,1,2,0,1,0,0,1,3,0,0,0
KR_6542818449,11,16,26,61,41257,0,0,0,1,1,0,0,0,2,0,0,26,27,11,67,53417,1,1,3,0,1,1,1,1,11,1,2,0
KR_6465933019,26,21,12,49,35250,1,0,0,1,1,0,0,1,3,0,0,12,11,26,43,26190,0,0,0,0,0,0,0,0,0,0,0,1
KR_6534557463,42,58,28,83,70698,0,1,4,1,2,1,2,0,10,1,2,28,41,42,75,59028,1,0,1,0,0,0,0,1,3,0,0,1
KR_6532030544,34,90,46,67,46818,0,0,0,0,0,0,0,0,1,0,0,46,110,34,71,53468,1,0,0,0,0,0,0,1,4,1,1,0
KR_6541974204,22,30,38,82,63295,0,0,0,0,0,1,2,0,3,0,0,38,71,22,82,71515,1,1,5,1,2,0,0,1,8,1,2,0
KR_6535491385,31,57,17,75,61491,0,1,4,0,0,0,0,0,11,1,2,17,16,31,71,54495,1,0,0,1,2,1,1,1,6,0,0,1
KR_6512934715,46,80,23,73,63023,0,0,1,1,1,1,1,1,8,1,1,23,30,46,64,47957,1,1,2,0,1,0,0,0,2,0,0,1
KR_6539508242,7,4,11,47,25210,1,0,0,1,1,0,0,0,0,0,0,11,10,7,49,28934,0,1,1,0,0,0,0,1,3,0,0,0
KR_6537316153,38,59,29,76,65607,1,1,4,1,2,1,1,1,11,1,3,29,46,38,71,50651,0,0,0,0,0,0,0,0,0,0,0,1
KR_6533008040,26,46,54,67,49070,0,0,0,0,0,0,0,0,0,0,0,54,137,26,78,61495,1,0,0,0,0,0,0,1,4,1,1,0
KR_6540210866,21,25,4,49,36458,0,1,2,1,1,0,0,1,6,1,1,4,4,21,42,22371,1,0,0,0,0,0,0,0,0,0,0,1
KR_6541497678,19,30,6,48,31495,1,0,0,0,0,0,0,1,1,0,0,6,11,19,42,24919,0,1,1,1,1,0,0,0,0,0,0,1
KR_6529841690,11,13,24,52,34584,0,0,0,0,1,0,0,0,0,0,0,24,34,11,61,45329,1,1,3,1,1,1,1,1,5,0,0,0
KR_6539361831,41,114,70,88,70132,0,0,0,0,0,0,0,0,2,0,1,70,227,41,90,78540,1,0,0,0,0,0,0,1,4,1,2,0
KR_6538834909,15,27,22,48,30270,0,0,0,0,0,0,0,0,0,0,0,22,72,15,50,33477,1,0,0,0,0,0,0,1,1,0,0,0
KR_6533574747,13,28,35,62,40006,0,0,0,1,1,0,0,0,1,0,0,35,45,13,74,58076,1,1,4,0,1,1,1,1,11,1,3,0
KR_6534430068,9,6,22,47,26806,0,0,0,0,0,0,0,0,0,0,0,22,25,9,50,33649,1,1,2,1,1,0,0,1,1,0,0,0
KR_6539380353,9,12,32,42,24865,0,0,0,0,0,0,0,0,0,0,0,32,27,9,51,36979,1,1,1,1,1,0,0,1,3,0,0,0
KR_6535123854,48,68,26,70,60311,0,1,4,1,2,1,1,1,11,1,4,26,49,48,64,47653,1,0,0,0,0,0,0,0,1,0,0,1
KR_6534682363,32,31,43,73,57251,0,0,1,1,1,0,0,0,4,0,0,43,62,32,82,67330,1,1,3,0,1,1,1,1,10,1,2,0
KR_6530056402,23,61,36,70,52624,0,0,0,0,0,0,0,1,1,0,0,36,109,23,77,58364,1,0,0,0,0,0,0,0,4,1,2,0
KR_6542273101,34,61,38,67,54687,1,1,2,0,0,0,0,0,3,0,0,38,81,34,73,63168,0,0,2,1,2,1,1,1,7,1,1,0
KR_6537446127,37,62,25,69,53963,1,1,3,1,1,1,1,1,3,0,0,25,29,37,63,48393,0,0,0,0,0,0,0,0,3,0,0,1
KR_6536456951,14,13,31,53,33070,0,0,0,0,0,0,0,0,0,0,0,31,26,14,60,43341,1,1,2,1,1,0,0,1,4,0,0,0
KR_6540508053,7,12,24,42,23025,0,0,0,0,0,0,0,0,0,0,0,24,20,7,49,36787,1,1,2,1,1,0,0,1,6,0,0,0
KR_6542486946,30,38,21,70,52841,0,1,3,1,1,1,1,1,7,1,1,21,40,30,61,43321,1,0,0,0,0,0,0,0,0,0,0,1
KR_6542798818,26,50,22,63,47757,1,0,0,1,2,0,0,1,5,0,0,22,52,26,67,50847,0,1,3,0,0,1,1,0,7,1,1,0
KR_6519505382,38,80,13,71,59296,1,0,1,1,2,1,1,1,10,1,1,13,19,38,60,42334,0,1,2,0,0,0,0,0,2,0,0,1
KR_6534220945,37,69,51,86,78745,1,0,1,0,0,0,0,0,3,0,0,51,69,37,87,86689,0,1,4,1,2,1,3,1,8,1,1,0
KR_6521122874,31,94,28,70,51000,0,0,0,0,0,0,0,0,1,0,0,28,99,31,72,54154,1,0,0,0,0,0,0,1,4,1,1,0
KR_6538087507,26,34,9,60,44268,1,0,1,1,1,0,0,1,5,0,0,9,10,26,55,32706,0,1,1,0,0,0,0,0,1,0,0,1
KR_6537404536,17,29,7,50,33413,1,1,2,1,1,0,0,1,3,0,0,7,11,17,48,26424,0,0,0,0,0,0,0,0,0,0,0,1
KR_6491999851,26,29,9,49,36061,0,1,2,1,1,0,0,1,5,1,1,9,8,26,45,26813,1,0,0,0,0,0,0,0,1,0,0,1
KR_6534820950,12,11,19,55,34938,1,0,0,1,1,0,0,1,1,0,0,19,14,12,61,41666,0,1,3,0,1,0,0,0,5,0,0,0
KR_6513047024,15,18,29,54,38199,0,0,0,0,0,0,0,0,2,0,0,29,48,15,62,46810,1,1,2,1,2,0,0,1,6,1,1,0
KR_6526972580,22,27,8,51,35211,1,1,2,0,0,0,0,1,3,0,0,8,9,22,46,26778,0,0,0,1,1,0,0,0,0,0,0,1
KR_6540476698,0,0,2,5,2500,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3389,1,0,0,0,0,0,0,0,0,0,0,0
KR_6535319578,76,187,74,90,89075,1,0,0,0,0,0,0,0,4,1,2,74,136,76,90,90267,0,0,0,0,0,0,0,1,3,0,2,1
